movieID,movie_title,movie_year,IMDB_rating,number_of_IMDB_votes,genres
m301,a clockwork orange,1971,8.50,197372,['crime' 'drama' 'sci-fi']
m571,thx 1138,1971,6.80,15741,['drama' 'mystery' 'sci-fi' 'thriller']
m47,dark star,1974,6.50,8303,['comedy' 'sci-fi' 'thriller']
m615,young frankenstein,1974,8.00,57618,['comedy' 'sci-fi']
m176,shivers,1975,6.50,4940,['horror' 'sci-fi']
m122,logan's run,1976,6.70,15152,['action' 'sci-fi']
m529,star wars,1977,8.80,326619,['action' 'adventure' 'fantasy' 'sci-fi']
m544,superman,1978,7.30,51172,['action' 'family' 'sci-fi']
m236,alien,1979,8.50,184471,['adventure' 'horror' 'sci-fi' 'thriller']
m531,star trek: the motion picture,1979,6.20,25723,['adventure' 'fantasy' 'mystery' 'sci-fi']
m542,superman ii,1980,6.70,29941,['action' 'adventure' 'fantasy' 'romance' 'sci-fi']
m12,airplane ii: the sequel,1982,5.80,15210,['comedy' 'romance' 'sci-fi']
m34,blade runner,1982,8.30,188735,['drama' 'sci-fi' 'thriller']
m193,star trek: the wrath of khan,1982,7.80,36503,['action' 'adventure' 'sci-fi' 'thriller']
m213,the thing,1982,8.20,80904,['horror' 'mystery' 'sci-fi' 'thriller']
m434,halloween iii: season of the witch,1982,3.80,13037,['horror' 'mystery' 'sci-fi']
m584,tron,1982,6.70,25903,['action' 'adventure' 'sci-fi' 'thriller' 'sci-fi']
m113,krull,1983,5.90,8246,['fantasy' 'action' 'adventure' 'sci-fi']
m489,star wars: episode vi - return of the jedi,1983,8.30,215058,['action' 'adventure' 'fantasy' 'sci-fi']
m541,superman iii,1983,4.70,18340,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi']
m192,star trek iii: the search for spock,1984,6.50,22466,['action' 'adventure' 'sci-fi' 'thriller']
m199,starman,1984,6.90,14204,['adventure' 'drama' 'romance' 'sci-fi']
m255,the adventures of buckaroo banzai across the 8th dimension,1984,6.00,10046,['adventure' 'romance' 'comedy' 'sci-fi']
m328,dune,1984,6.50,38954,['action' 'adventure' 'sci-fi']
m540,supergirl,1984,4.10,6576,['action' 'adventure' 'sci-fi']
m549,the terminator,1984,8.10,183538,['action' 'sci-fi' 'thriller']
m253,back to the future,1985,8.40,207376,['adventure' 'family' 'sci-fi']
m283,brazil,1985,8.00,77350,['drama' 'fantasy' 'sci-fi']
m317,day of the dead,1985,7.00,22746,['horror' 'sci-fi']
m15,aliens,1986,8.50,173518,['action' 'sci-fi' 'thriller']
m75,ghostbusters,1986,6.90,237,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror']
m194,star trek iv: the voyage home,1986,7.30,26423,['adventure' 'comedy' 'sci-fi']
m100,innerspace,1987,6.50,16854,['action' 'adventure' 'comedy' 'crime' 'sci-fi']
m478,predator,1987,7.80,90730,['action' 'adventure' 'sci-fi' 'thriller']
m543,superman iv: the quest for peace,1987,3.40,15332,['action' 'adventure' 'family' 'fantasy' 'sci-fi']
m14,alien nation,1988,6.10,5590,['crime' 'drama' 'sci-fi' 'thriller']
