characterID,character_name,movieID,movie_title,gender
u78,CORNELIUS,m5,the fifth element,m
u79,DAVID,m5,the fifth element,m
u80,DIVA,m5,the fifth element,f
u81,FINGER,m5,the fifth element,m
u82,GIRL,m5,the fifth element,f
u83,KOMMANDER,m5,the fifth element,m
u84,KORBEN,m5,the fifth element,m
u85,LEELOO,m5,the fifth element,f
u86,LOC RHOD,m5,the fifth element,m
u87,MACTILBURGH,m5,the fifth element,m
u88,MOTHER,m5,the fifth element,f
u89,MUGGER,m5,the fifth element,m
u90,MUNRO,m5,the fifth element,m
u91,PRESIDENT,m5,the fifth element,m
u92,PRIEST,m5,the fifth element,m
u93,PROFESSOR,m5,the fifth element,m
u94,SECRETARY,m5,the fifth element,f
u95,SHADOW,m5,the fifth element,m
u96,STAEDERT,m5,the fifth element,m
u97,THAI,m5,the fifth element,m
u98,VOICE,m5,the fifth element,x
u99,ZORG,m5,the fifth element,m
u178,COMMISSIONER,m12,airplane ii: the sequel,m
u179,DUNN,m12,airplane ii: the sequel,m
u180,ELAINE,m12,airplane ii: the sequel,f
u181,JIMMY,m12,airplane ii: the sequel,m
u182,JOE,m12,airplane ii: the sequel,m
u183,JOHN,m12,airplane ii: the sequel,m
u184,KRUGER,m12,airplane ii: the sequel,m
u185,MARY,m12,airplane ii: the sequel,f
u186,OVEUR,m12,airplane ii: the sequel,m
u187,PORTER,m12,airplane ii: the sequel,m
u188,RECEPTIONIST,m12,airplane ii: the sequel,f
u189,ROK,m12,airplane ii: the sequel,n
u190,RUMACK,m12,airplane ii: the sequel,m
u191,SIMON,m12,airplane ii: the sequel,m
u192,STELLA,m12,airplane ii: the sequel,f
u193,TED,m12,airplane ii: the sequel,m
u194,WIFE,m12,airplane ii: the sequel,f
u215,CASSANDRA,m14,alien nation,f
u216,FEDORCHUK,m14,alien nation,m
u217,HARCOURT,m14,alien nation,m
u218,JETSON,m14,alien nation,m
u219,KIPLING,m14,alien nation,m
u220,MAFFET,m14,alien nation,m
u221,O'NEAL,m14,alien nation,m
u222,OPERATOR,m14,alien nation,f
u223,PORTER,m14,alien nation,m
u224,SYKES,m14,alien nation,m
u225,TUGGLE,m14,alien nation,m
u226,WARNER,m14,alien nation,m
u227,WINTER,m14,alien nation,m
u228,APONE,m15,aliens,m
u229,BISHOP,m15,aliens,m
u230,BURKE,m15,aliens,m
u231,GORMAN,m15,aliens,m
u232,HICKS,m15,aliens,m
u233,HUDSON,m15,aliens,m
u234,LYDECKER,m15,aliens,m
u235,MED-TECH,m15,aliens,f
u236,NEWT,m15,aliens,f
u237,RIPLEY,m15,aliens,f
u238,SIMPSON,m15,aliens,m
u239,VAN LEUWEN,m15,aliens,m
u240,VASQUEZ,m15,aliens,f
u529,BATTY,m34,blade runner,m
u530,BRYANT,m34,blade runner,m
u531,CHEW,m34,blade runner,m
u532,DECKARD,m34,blade runner,m
u533,DECKARD'S VOICE,m34,blade runner,m
u534,ESPER,m34,blade runner,n
u535,GAFF,m34,blade runner,m
u536,HOLDEN,m34,blade runner,m
u537,LEON,m34,blade runner,m
u538,MARY,m34,blade runner,f
u539,PRIS,m34,blade runner,f
u540,RACHAEL,m34,blade runner,f
u541,SALOME,m34,blade runner,f
u542,SEBASTIAN,m34,blade runner,m
u543,TAFFEY,m34,blade runner,m
u544,TYRELL,m34,blade runner,m
u545,VOICE,m34,blade runner,x
u546,WHEELER,m34,blade runner,x
u643,ANDREA,m41,the butterfly effect,f
u644,CARLOS,m41,the butterfly effect,m
u645,DR. REDFIELD,m41,the butterfly effect,m
u646,EVAN,m41,the butterfly effect,m
u647,HEIDI,m41,the butterfly effect,f
u648,HUNTER,m41,the butterfly effect,m
u649,JASON,m41,the butterfly effect,m
u650,KAYLEIGH,m41,the butterfly effect,f
u651,LENNY,m41,the butterfly effect,m
u652,MR. MILLER,m41,the butterfly effect,m
u653,MRS. BOSWELL,m41,the butterfly effect,f
u654,PROFESSOR CARTER,m41,the butterfly effect,m
u655,THUMPER,m41,the butterfly effect,m
u656,TOMMY,m41,the butterfly effect,m
u657,WAITRESS,m41,the butterfly effect,f
u737,BOILER,m47,dark star,m
u738,BOMB #19,m47,dark star,n
u739,BOMB #20,m47,dark star,n
u740,DOOLITTLE,m47,dark star,m
u741,PINBACK,m47,dark star,m
u742,POWELL,m47,dark star,m
u743,TALBY,m47,dark star,m
u744,BLONDE,m48,dark angel,f
u745,BRUNO,m48,dark angel,m
u746,DARREN,m48,dark angel,m
u747,HERBAL,m48,dark angel,m
u748,INGA,m48,dark angel,f
u749,KENDRA,m48,dark angel,f
u750,LAUREN,m48,dark angel,f
u751,LOGAN,m48,dark angel,m
u752,LYDIA,m48,dark angel,f
u753,MAX,m48,dark angel,f
u754,NORMAL,m48,dark angel,f
u755,ORIGINAL CINDY,m48,dark angel,f
u756,SKETCHY,m48,dark angel,m
u757,SONRISA,m48,dark angel,m
u758,SOPHY,m48,dark angel,f
u759,THEO,m48,dark angel,m
u760,VOGELSANG,m48,dark angel,m
u777,AUDIENCE,m50,donnie darko,x
u778,DAVID,m50,donnie darko,m
u779,DONNIE,m50,donnie darko,m
u780,DR. MONNITOFF,m50,donnie darko,m
u781,DR. THURMAN,m50,donnie darko,m
u782,EDDIE,m50,donnie darko,m
u783,ELIZABETH,m50,donnie darko,f
u784,FRANK,m50,donnie darko,m
u785,GRETCHEN,m50,donnie darko,f
u786,JIM CUNNINGHAM,m50,donnie darko,m
u787,LEROY,m50,donnie darko,m
u788,MS. FARMER,m50,donnie darko,f
u789,MS. POMEROY,m50,donnie darko,f
u790,PRINCIPAL COLE,m50,donnie darko,m
u791,RONALD,m50,donnie darko,m
u792,ROSE,m50,donnie darko,f
u793,SAMANTHA,m50,donnie darko,f
u794,SEAN,m50,donnie darko,m
u795,SETH,m50,donnie darko,m
u858,CARRIE,m55,eternal sunshine of the spotless mind,f
u859,CLEMENTINE,m55,eternal sunshine of the spotless mind,f
u860,CLEMENTINE'S VOICE,m55,eternal sunshine of the spotless mind,f
u861,JOEL,m55,eternal sunshine of the spotless mind,m
u862,MARY,m55,eternal sunshine of the spotless mind,f
u863,MIERZWIAK,m55,eternal sunshine of the spotless mind,m
u864,NAOMI,m55,eternal sunshine of the spotless mind,f
u865,NAOMI'S VOICE,m55,eternal sunshine of the spotless mind,f
u866,OLD WOMAN,m55,eternal sunshine of the spotless mind,f
u867,PATRICK,m55,eternal sunshine of the spotless mind,m
u868,RECEPTIONIST,m55,eternal sunshine of the spotless mind,f
u869,STAN,m55,eternal sunshine of the spotless mind,m
u870,STAN'S VOICE,m55,eternal sunshine of the spotless mind,m
u871,VOICE-OVER,m55,eternal sunshine of the spotless mind,x
u879,COOPER,m57,event horizon,m
u880,DJ,m57,event horizon,m
u881,HOLLIS,m57,event horizon,m
